Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SEE,"Sealed Air Corp",37.5,-1.4,-3.60%,38.7,37.38,2893100,10/09/18
SHW,"Sherwin-Williams Company",424.73,-17.83,-4.03%,435.1,421.9,1266900,10/09/18
SIVB,"Svb Financial Grp",316.05,-2.32,-0.73%,318.48,314.92,276500,10/09/18
SJM,"J.M. Smucker Company",101.97,-2.43,-2.33%,104.91,101.76,1186400,10/09/18
SLB,"Schlumberger N.V.",63.11,0.17,+0.27%,63.65,62.3,6410500,10/09/18
SLG,"SL Green Realty Corp",94.76,0.01,+0.01%,95.25,93.95,582800,10/09/18
SNA,"Snap-On Inc",178,-1.32,-0.74%,179.98,177.86,686100,10/09/18
SNPS,"Synopsys Inc",90.85,-0.44,-0.48%,92.16,90.45,1277400,10/09/18
SO,"Southern Company",44.12,0.2,+0.46%,44.35,43.81,5865300,10/09/18
SPG,"Simon Property Group",175.1,0.19,+0.11%,176.67,173.58,1198200,10/09/18
SPGI,"S&P Global Inc",187.82,-2.19,-1.15%,189.99,187.51,1606300,10/09/18
SRCL,"Stericycle Inc",54.12,0.08,+0.15%,54.31,53.63,662100,10/09/18
SRE,"Sempra Energy",116.4,-0.15,-0.13%,117.15,115.35,2005400,10/09/18
STI,"Suntrust Banks",66.7,-0.26,-0.39%,67.1,66.29,3560500,10/09/18
STT,"State Street Corp",86.36,-0.78,-0.90%,87.1,85.91,2949700,10/09/18
STX,"Seagate Tech Ord Shs",44,-1.84,-4.01%,45.64,43.53,4961100,10/09/18
STZ,"Constellation Brands Inc",226.27,-2.4,-1.05%,228.33,225.23,2443100,10/09/18
SWK,"Stanley Black & Decker Inc",134.68,-6.52,-4.62%,140.95,134.36,1893700,10/09/18
SWKS,"Skyworks Solutions",88.52,0.95,+1.08%,88.7,87.3,1084600,10/09/18
SYF,"Synchrony Financial",31.15,-0.18,-0.57%,31.35,30.98,3740700,10/09/18
SYK,"Stryker Corp",176.08,1.08,+0.62%,176.64,174.15,1020100,10/09/18
SYMC,"Symantec Corp",19.91,-0.43,-2.11%,20.44,19.82,6108400,10/09/18
SYY,"Sysco Corp",71.8,-0.87,-1.20%,72.55,71.74,2722700,10/09/18
T,"AT&T Inc",33.5,-0.61,-1.79%,33.7,33.5,27866000,10/09/18
TAP,"Molson Coors Brewing Company",61.73,-1.02,-1.63%,62.39,61.56,1225600,10/09/18
TDG,"Transdigm Group Inc",351.21,-4.64,-1.30%,355.81,349.01,326700,10/09/18
TEL,"Te Connectivity Ltd",82.38,-1.61,-1.92%,84.05,82.02,3562200,10/09/18
TGT,"Target Corp",85.66,0.26,+0.30%,86.8,85.49,3330900,10/09/18
TIF,"Tiffany & Co",122.95,1.07,+0.88%,124.81,121.88,1459500,10/09/18
TJX,"TJX Companies",111.4,0.59,+0.53%,112.16,110.72,3069200,10/09/18
TMK,"Torchmark Corp",88.85,0.15,+0.17%,89.29,88,420900,10/09/18
TMO,"Thermo Fisher Scientific Inc",239.97,0.31,+0.13%,241.27,238.42,1397600,10/09/18
TPR,"Tapestry Inc",47.78,-0.48,-0.99%,48.69,47.66,2294000,10/09/18
TRIP,"Tripadvisor Inc",47.8,-2.18,-4.36%,49.76,47.2,5051300,10/09/18
TROW,"T Rowe Price Group",107.99,-1.24,-1.14%,109.2,107.71,1559500,10/09/18
TRV,"The Travelers Companies Inc",131.59,-0.07,-0.05%,132.02,130.32,865200,10/09/18
